n,Ln,Rn,Mn

20,5.610000000000,6.410000000000,5.995000000000
40,5.802500000000,6.202500000000,5.998750000000
60,5.867777777778,6.134444444444,5.999444444444
80,5.900625000000,6.100625000000,5.999687500000
100,5.920400000000,6.080400000000,5.999800000000
120,5.933611111111,6.066944444444,5.999861111111
140,5.943061224490,6.057346938776,5.999897959184
160,5.950156250000,6.050156250000,5.999921875000
180,5.955679012346,6.044567901235,5.999938271605
200,5.960100000000,6.040100000000,5.999950000000
220,5.963719008264,6.036446280992,5.999958677686
240,5.966736111111,6.033402777778,5.999965277778
260,5.969289940828,6.030828402367,5.999970414201
280,5.971479591837,6.028622448980,5.999974489796
300,5.973377777778,6.026711111111,5.999977777778
320,5.975039062500,6.025039062500,5.999980468750
340,5.976505190311,6.023564013841,5.999982698962
360,5.977808641975,6.022253086420,5.999984567901
380,5.978975069252,6.021080332410,5.999986149584
400,5.980025000000,6.020025000000,5.999987500000
420,5.980975056689,6.019070294785,5.999988662132
440,5.981838842975,6.018202479339,5.999989669421
460,5.982627599244,6.017410207940,5.999990548204
480,5.983350694444,6.016684027778,5.999991319444
500,5.984016000000,6.016016000000,5.999992000000
520,5.984630177515,6.015399408284,5.999992603550
540,5.985198902606,6.014828532236,5.999993141289
560,5.985727040816,6.014298469388,5.999993622449
580,5.986218787158,6.013804994055,5.999994054697
600,5.986677777778,6.013344444444,5.999994444444
620,5.987107180021,6.012913631634,5.999994797086
640,5.987509765625,6.012509765625,5.999995117187
660,5.987887970615,6.012130394858,5.999995408632
680,5.988243944637,6.011773356401,5.999995674740
700,5.988579591837,6.011436734694,5.999995918367
720,5.988896604938,6.011118827160,5.999996141975
740,5.989196493791,6.010818115413,5.999996347699
760,5.989480609418,6.010533240997,5.999996537396
780,5.989750164366,6.010262984878,5.999996712689
800,5.990006250000,6.010006250000,5.999996875000
820,5.990249851279,6.009762046401,5.999997025580
840,5.990481859410,6.009529478458,5.999997165533
860,5.990703082747,6.009307733910,5.999997295836
880,5.990914256198,6.009096074380,5.999997417355
900,5.991116049383,6.008893827160,5.999997530864
920,5.991309073724,6.008700378072,5.999997637051
940,5.991493888637,6.008515165233,5.999997736532
960,5.991671006944,6.008337673611,5.999997829861
980,5.991840899625,6.008167430237,5.999997917534
1000,5.992004000000,6.008004000000,5.999998000000
1020,5.992160707420,6.007846981930,5.999998077662
1040,5.992311390533,6.007696005917,5.999998150888
1060,5.992456390174,6.007550729797,5.999998220007
1080,5.992596021948,6.007410836763,5.999998285322
1100,5.992730578512,6.007276033058,5.999998347107
1120,5.992860331633,6.007146045918,5.999998405612
1140,5.992985534010,6.007020621730,5.999998461065
1160,5.993106420927,6.006899524376,5.999998513674
1180,5.993223211721,6.006782533755,5.999998563631
1200,5.993336111111,6.006669444444,5.999998611111
1220,5.993445310400,6.006560064499,5.999998656275
1240,5.993550988554,6.006454214360,5.999998699272
1260,5.993653313177,6.006351725876,5.999998740237
1280,5.993752441406,6.006252441406,5.999998779297
1300,5.993848520710,6.006156213018,5.999998816568
1320,5.993941689624,6.006062901745,5.999998852158
1340,5.994032078414,6.005972376921,5.999998886166
1360,5.994119809689,6.005884515571,5.999998918685
1380,5.994204998950,6.005799201848,5.999998949800
1400,5.994287755102,6.005716326531,5.999998979592
1420,5.994368180916,6.005635786550,5.999999008133
1440,5.994446373457,6.005557484568,5.999999035494
1460,5.994522424470,6.005481328579,5.999999061738
1480,5.994596420745,6.005407231556,5.999999086925
1500,5.994668444444,6.005335111111,5.999999111111
1520,5.994738573407,6.005264889197,5.999999134349
1540,5.994806881430,6.005196491820,5.999999156687
1560,5.994873438527,6.005129848784,5.999999178172
1580,5.994938311168,6.005064893447,5.999999198846
1600,5.995001562500,6.005001562500,5.999999218750
1620,5.995063252553,6.004939795763,5.999999237921
1640,5.995123438430,6.004879535990,5.999999256395
1660,5.995182174481,6.004820728698,5.999999274205
1680,5.995239512472,6.004763321995,5.999999291383
1700,5.995295501730,6.004707266436,5.999999307958
1720,5.995350189292,6.004652514873,5.999999323959
1740,5.995403620029,6.004599022328,5.999999339411
1760,5.995455836777,6.004546745868,5.999999354339
1780,5.995506880444,6.004495644489,5.999999368767
1800,5.995556790123,6.004445679012,5.999999382716
1820,5.995605603188,6.004396811979,5.999999396208
1840,5.995653355388,6.004349007561,5.999999409263
1860,5.995700080934,6.004302231472,5.999999421898
1880,5.995745812585,6.004256450883,5.999999434133
1900,5.995790581717,6.004211634349,5.999999445983
1920,5.995834418403,6.004167751736,5.999999457465
1940,5.995877351472,6.004124774152,5.999999468594
1960,5.995919408580,6.004082673886,5.999999479384
1980,5.995960616264,6.004041424344,5.999999489848
2000,5.996001000000,6.004001000000,5.999999500000
2020,5.996040584256,6.003961376336,5.999999509852
2040,5.996079392541,6.003922529796,5.999999519416
2060,5.996117447450,6.003884437742,5.999999528702
2080,5.996154770710,6.003847078402,5.999999537722
2100,5.996191383220,6.003810430839,5.999999546485
2120,5.996227305091,6.003774474902,5.999999555002
2140,5.996262555682,6.003739191196,5.999999563281
2160,5.996297153635,6.003704561043,5.999999571331
2180,5.996331116909,6.003670566451,5.999999579160
2200,5.996364462810,6.003637190083,5.999999586777
2220,5.996397208019,6.003604415226,5.999999594189
2240,5.996429368622,6.003572225765,5.999999601403
2260,5.996460960138,6.003540606156,5.999999608427
2280,5.996491997538,6.003509541397,5.999999615266
2300,5.996522495274,6.003479017013,5.999999621928
2320,5.996552467301,6.003449019025,5.999999628419
2340,5.996581927095,6.003419533932,5.999999634743
2360,5.996610887676,6.003390548693,5.999999640908
2380,5.996639361627,6.003362050703,5.999999646918
2400,5.996667361111,6.003334027778,5.999999652778
2420,5.996694897889,6.003306468137,5.999999658493
2440,5.996721983338,6.003279360387,5.999999664069
2460,5.996748628462,6.003252693503,5.999999669509
2480,5.996774843913,6.003226456816,5.999999674818
2500,5.996800640000,6.003200640000,5.999999680000
2520,5.996826026707,6.003175233056,5.999999685059
2540,5.996851013702,6.003150226300,5.999999689999
2560,5.996875610352,6.003125610352,5.999999694824
2580,5.996899825732,6.003101376119,5.999999699537
2600,5.996923668639,6.003077514793,5.999999704142
2620,5.996947147602,6.003054017831,5.999999708642
2640,5.996970270891,6.003030876951,5.999999713039
2660,5.996993046526,6.003008084120,5.999999717338
2680,5.997015482290,6.002985631544,5.999999721542
2700,5.997037585734,6.002963511660,5.999999725652
2720,5.997059364187,6.002941717128,5.999999729671
2740,5.997080824764,6.002920240823,5.999999733603
2760,5.997101974375,6.002899075824,5.999999737450
2780,5.997122819730,6.002878215413,5.999999741214
2800,5.997143367347,6.002857653061,5.999999744898
2820,5.997163623560,6.002837382425,5.999999748504
2840,5.997183594525,6.002817397342,5.999999752033
2860,5.997203286224,6.002797691819,5.999999755489
2880,5.997222704475,6.002778260031,5.999999758873
2900,5.997241854935,6.002759096314,5.999999762188
2920,5.997260743104,6.002740195159,5.999999765434
2940,5.997279374335,6.002721551206,5.999999768615
2960,5.997297753835,6.002703159240,5.999999771731
2980,5.997315886672,6.002685014189,5.999999774785
3000,5.997333777778,6.002667111111,5.999999777778
3020,5.997351431955,6.002649445200,5.999999780711
3040,5.997368853878,6.002632011773,5.999999783587
3060,5.997386048101,6.002614806271,5.999999786407
3080,5.997403019059,6.002597824254,5.999999789172
3100,5.997419771072,6.002581061394,5.999999791883
3120,5.997436308350,6.002564513478,5.999999794543
3140,5.997452634995,6.002548176397,5.999999797152
3160,5.997468755007,6.002532046146,5.999999799712
3180,5.997484672284,6.002516118824,5.999999802223
3200,5.997500390625,6.002500390625,5.999999804688
3220,5.997515913738,6.002484857837,5.999999807106
3240,5.997531245237,6.002469516842,5.999999809480
3260,5.997546388648,6.002454364109,5.999999811811
3280,5.997561347412,6.002439396193,5.999999814099
